-------------------------------------------------------
Greedy experiments over RegularLattice
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
91, 6.597342944999999, 102.37499999999868
92, 8.008234503591648, 103.49999999999947
93, 8.557646445, 104.62499999999989
94, 7.169755050000001, 105.74999999999962
95, 6.8276520450000024, 106.87499999999991
96, 7.107859845000002, 107.99999999999977
97, 6.721771050000001, 109.12499999999957
98, 7.526143845, 110.24999999999902
99, 7.629368895000002, 111.375
100, 7.062972205500001, 112.50000000000026
101, 7.008446700000002, 113.62499999999962
--- Parameters: [0.0, 0.0, 1.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 1.350036045, 1.124999999999985
2, 2.0691796499999993, 2.24999999999997
3, 1.7524741499999994, 3.374999999999993
4, 2.162987099999999, 4.49999999999994
5, 2.074469894999999, 5.624999999999949
6, 2.054949344999999, 6.749999999999986
7, 2.453028345, 7.874999999999969
8, 3.0099321899999993, 8.99999999999988
9, 2.90104965, 10.124999999999904
10, 3.1786725105000007, 11.249999999999899
11, 3.3458077709999996, 12.374999999999947
12, 3.0281215499999994, 13.499999999999972
13, 3.2363238694499996, 14.624999999999904
14, 3.4068289949999992, 15.749999999999938
15, 3.123748844999999, 16.87500000000004
16, 3.0595332914549997, 17.99999999999976
17, 4.4512083449999995, 19.124999999999766
18, 4.259076703946145, 20.249999999999808
19, 3.8625528555, 21.374999999999787
20, 4.278108690000001, 22.499999999999797
21, 5.3772921, 23.624999999999897
22, 4.9215432555000005, 24.749999999999893
23, 4.720653332505, 25.87499999999987
24, 5.213418345, 26.999999999999943
25, 5.25202155, 28.125000000000064
26, 5.307199960500001, 29.249999999999808
27, 5.76238455, 30.375000000000057
28, 5.2874793449999995, 31.499999999999876
29, 5.53623174, 32.62499999999967
30, 5.144269995, 33.75000000000008
31, 5.89188105, 34.874999999999766
32, 6.146320049999998, 35.99999999999952
33, 6.537724440304501, 37.12499999999987
34, 6.897750227505, 38.24999999999953
35, 6.245941050000001, 39.37500000000017
36, 7.0128894105000015, 40.499999999999616
37, 7.099584345000001, 41.62499999999991
38, 6.303288946454999, 42.749999999999574
39, 7.349269050000002, 43.87499999999931
40, 6.249024495000002, 44.999999999999595
41, 7.054696395000003, 46.124999999999936
42, 6.255505395000002, 47.249999999999794
43, 7.068766050000001, 48.37499999999961
44, 6.16276607445, 49.49999999999979
45, 6.899386419450001, 50.62500000000017
46, 7.308517050000002, 51.74999999999974
47, 7.368695550000003, 52.87499999999981
48, 7.289125579804501, 53.999999999999886
49, 7.3081344694500014, 55.12499999999951
50, 7.239938445000002, 56.25000000000013
51, 7.836826050000006, 57.374999999999986
52, 7.730428995000004, 58.499999999999616
53, 7.607896074449999, 59.624999999999396
54, 6.73784990932905, 60.750000000000114
55, 7.226218845, 61.874999999999865
56, 6.903170550000004, 62.99999999999975
57, 7.382593845000001, 64.1249999999995
58, 7.71347655, 65.24999999999935
59, 7.8879899299500025, 66.37500000000018
60, 7.067663410499999, 67.50000000000016
61, 7.8815385000000004, 68.62499999999916
62, 7.41211605, 69.74999999999953
63, 7.865832946455003, 70.87500000000026
64, 6.9222735, 71.99999999999903
65, 7.468027371000003, 73.12499999999986
66, 7.669384440304507, 74.24999999999974
67, 8.011153867004998, 75.37499999999893
68, 7.75348065, 76.49999999999906
69, 7.276218795450004, 77.62499999999936
70, 7.1940511350000005, 78.75000000000034
71, 7.3492613055000025, 79.87499999999946
72, 7.930232100000007, 80.99999999999923
73, 7.808400756000002, 82.12499999999908
74, 8.708786550000003, 83.24999999999982
75, 8.247190360500001, 84.3749999999995
76, 7.721815049999999, 85.49999999999915
77, 7.688044845000003, 86.6250000000002
78, 7.790305050000005, 87.74999999999862
79, 8.055684, 88.87499999999935
80, 7.321565650500004, 89.99999999999919
81, 7.947303624449999, 91.1250000000003
82, 7.6532647144500014, 92.24999999999987
83, 8.481708991146647, 93.3749999999989
84, 7.450339972005002, 94.49999999999959
85, 7.613147574450001, 95.62499999999986
86, 7.907365394999999, 96.74999999999922
87, 6.80370512445, 97.87499999999905
88, 7.967503844999999, 98.99999999999957
89, 7.758531000000002, 100.12499999999974
90, 7.5854869605000035, 101.25000000000034
91, 7.471115882505002, 102.37499999999868
92, 7.058608267004999, 103.49999999999947
93, 7.443026212005002, 104.62499999999989
94, 6.851837767005, 105.74999999999962
95, 7.011202729950002, 106.87499999999991
96, 6.477811199999998, 107.99999999999977
97, 8.335848690000002, 109.12499999999957
98, 7.285314214804504, 110.24999999999902
99, 7.190531100000003, 111.375
100, 7.510122022005001, 112.50000000000026
101, 7.486862755500002, 113.62499999999962
--- Parameters: [0.33, 0.33, 0.33] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 1.72795005, 1.124999999999985
2, 1.7860360499999999, 2.24999999999997
3, 2.3750524849499994, 3.374999999999993
4, 2.46762315, 4.49999999999994
5, 2.3411826900000006, 5.624999999999949
6, 2.6236129949999993, 6.749999999999986
7, 2.47016934, 7.874999999999969
8, 3.31222779, 8.99999999999988
9, 2.799135518151645, 10.124999999999904
10, 2.8605415499999998, 11.249999999999899
11, 3.20024655, 12.374999999999947
12, 3.334654394999999, 13.499999999999972
13, 3.565909395000001, 14.624999999999904
14, 3.7183003605000002, 15.749999999999938
15, 4.010176395000002, 16.87500000000004
16, 3.6947308016466436, 17.99999999999976
17, 3.9547330744499987, 19.124999999999766
18, 4.286506050000002, 20.249999999999808
19, 4.35749769, 21.374999999999787
20, 4.837235895000001, 22.499999999999797
21, 4.374885281252832, 23.624999999999897
22, 4.849141050000002, 24.749999999999893
23, 5.405520644999999, 25.87499999999987
24, 4.695476754510001, 26.999999999999943
25, 5.108228100000001, 28.125000000000064
26, 4.600374840000001, 29.249999999999808
27, 6.555664255500001, 30.375000000000057
28, 6.9830685, 31.499999999999876
29, 5.679969007005, 32.62499999999967
30, 5.901227860499999, 33.75000000000008
31, 6.389779279950002, 34.874999999999766
32, 6.310705050000001, 35.99999999999952
33, 5.948906445000002, 37.12499999999987
34, 6.302541460500001, 38.24999999999953
35, 5.873039100000001, 39.37500000000017
36, 6.936468345, 40.499999999999616
37, 6.567338584641645, 41.62499999999991
38, 6.168219624450002, 42.749999999999574
39, 6.299493345, 43.87499999999931
40, 6.518670367004999, 44.999999999999595
41, 7.488170100000003, 46.124999999999936
42, 7.2075608055000036, 47.249999999999794
43, 6.344112600000001, 48.37499999999961
44, 6.39825624, 49.49999999999979
45, 6.3282141, 50.62500000000017
46, 7.347934398829054, 51.74999999999974
47, 7.6814361000000035, 52.87499999999981
48, 7.411368010500003, 53.999999999999886
49, 7.250740650000003, 55.12499999999951
50, 7.363795050000003, 56.25000000000013
51, 7.470433585684056, 57.374999999999986
52, 7.305529095000002, 58.499999999999616
53, 8.059022882505001, 59.624999999999396
54, 7.159414500000001, 60.750000000000114
55, 7.043155267005001, 61.874999999999865
56, 8.322330550500007, 62.99999999999975
57, 7.183599345000002, 64.1249999999995
58, 7.671080269804503, 65.24999999999935
59, 7.069803345000002, 66.37500000000018
60, 7.710616115999999, 67.50000000000016
61, 7.192890945000002, 68.62499999999916
62, 7.041565867005, 69.74999999999953
63, 8.234662500000002, 70.87500000000026
64, 6.973539345000001, 71.99999999999903
65, 7.550035290000001, 73.12499999999986
66, 7.825261050000004, 74.24999999999974
67, 7.677296550000003, 75.37499999999893
68, 7.600574698946147, 76.49999999999906
69, 7.871662845000001, 77.62499999999936
70, 7.250966432505, 78.75000000000034
71, 6.996370050000001, 79.87499999999946
72, 7.865581050000005, 80.99999999999923
73, 7.201737045000003, 82.12499999999908
74, 7.310474860500004, 83.24999999999982
75, 7.5855681000000015, 84.3749999999995
76, 8.646459624450003, 85.49999999999915
77, 7.227708624450001, 86.6250000000002
78, 6.703793999999999, 87.74999999999862
79, 6.930068445000003, 88.87499999999935
80, 7.337889000000001, 89.99999999999919
81, 7.210957500000002, 91.1250000000003
82, 7.627857677505003, 92.24999999999987
83, 6.712111705500002, 93.3749999999989
84, 8.122503010500001, 94.49999999999959
85, 7.253398845000001, 95.62499999999986
86, 7.512556049999998, 96.74999999999922
87, 7.838152579804499, 97.87499999999905
88, 7.885711845000005, 98.99999999999957
89, 7.798062600000003, 100.12499999999974
90, 7.173352845000001, 101.25000000000034
91, 6.597342944999999, 102.37499999999868
92, 8.008234503591648, 103.49999999999947
93, 8.557646445, 104.62499999999989
94, 7.169755050000001, 105.74999999999962
95, 6.8276520450000024, 106.87499999999991
96, 7.107859845000002, 107.99999999999977
97, 6.721771050000001, 109.12499999999957
98, 7.526143845, 110.24999999999902
99, 7.629368895000002, 111.375
100, 7.062972205500001, 112.50000000000026
101, 7.008446700000002, 113.62499999999962

